# Types: key<TAB>description
# Functions: key<TAB>call form<TAB>description
# keys:
# - type:<type name>
# - fn:<function name> (function entries also include a call form)
type:Dict	Immutable mapping from string keys to values of one type.
type:List	Immutable ordered sequence.
type:Option	Optional value (`Some` or `None`).
type:Ordering	Three-way comparison result (`Less`, `Equal`, or `Greater`).
type:Result	Result value (`Ok` or `Err`) for success/failure flows.
type:Bool	Boolean truth value.
type:Char	One Unicode scalar value, matching Rust's `char`.
type:DateTime	UTC timestamp value.
type:f32	32-bit floating-point number.
type:f64	64-bit floating-point number.
type:Hash	BLAKE3 hash value.
type:i16	16-bit signed integer.
type:i32	32-bit signed integer.
type:i64	64-bit signed integer.
type:i8	8-bit signed integer.
type:String	UTF-8 string value.
type:u16	16-bit unsigned integer.
type:u32	32-bit unsigned integer.
type:u64	64-bit unsigned integer.
type:u8	8-bit unsigned integer.
type:UUID	UUID value.
fn:string_find	string_find needle haystack	Finds `needle` in `haystack`, returning its first Unicode scalar index or `None`.
fn:string_get	string_get index input	Returns the character at zero-based Unicode scalar `index` in `input`, or `None` when `index` is out of bounds.
fn:string_join	string_join separator parts	Joins `parts`, inserting `separator` between adjacent strings.
fn:string_replace	string_replace needle replacement input	Returns `input` with every non-overlapping occurrence of `needle` replaced by `replacement`.
fn:string_slice	string_slice start end input	Returns the half-open Unicode scalar range `start..end` from `input`, or `None` for invalid bounds.
fn:string_split	string_split separator input	Splits `input` at each non-overlapping occurrence of `separator`.
fn:string_starts_with	string_starts_with prefix input	Returns whether `input` starts with `prefix`.
fn:string_to_chars	string_to_chars input	Returns the Unicode scalar values in `input` as a character list.
fn:string_to_lower	string_to_lower input	Converts `input` using the Unicode lowercase mapping.
fn:string_to_upper	string_to_upper input	Converts `input` using the Unicode uppercase mapping.
fn:string_to_utf8	string_to_utf8 input	Encodes `input` as its UTF-8 byte sequence.
fn:string_trim	string_trim input	Removes Unicode whitespace from both ends of `input`.
fn:string_trim_end	string_trim_end input	Removes Unicode whitespace from the end of `input`.
fn:string_trim_start	string_trim_start input	Removes Unicode whitespace from the start of `input`.
fn:utf8_to_string	utf8_to_string bytes	Decodes `bytes` as UTF-8, returning `None` when the byte sequence is invalid.
fn:pure	pure value	Wraps `value` in the inferred container type.
fn:skip	skip count list	Drops the first `count` elements from `list`; when `count` exceeds its length, returns an empty list.
fn:sum	sum values	Combines all elements in `values` using addition, beginning with that element type's additive identity.
fn:take	take count list	Returns at most the first `count` elements from `list`.
fn:unwrap	unwrap value	Extracts the value from `Some` or `Ok`; raises an error when `value` is `None` or `Err`.
fn:unzip	unzip pairs	Splits the list of `pairs` into a pair of lists containing their first and second components.
fn:zero	zero	Returns the additive identity for the inferred result type.
fn:zip	zip left right	Pairs elements from `left` and `right` by position, stopping when either list ends.
fn:||	left || right	Returns `true` when either `left` or `right` is `true`.
